time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-03-23 00:00:00+00:00,47,5,219,31
2023-03-24 00:00:00+00:00,147,10,642,99
2023-03-25 00:00:00+00:00,14,5,608,78
2023-03-26 00:00:00+00:00,121,4,766,81
2023-03-27 00:00:00+00:00,363,10,1313,162
2023-03-28 00:00:00+00:00,215,10,1091,170
2023-03-29 00:00:00+00:00,258,13,1446,138
2023-03-30 00:00:00+00:00,69,12,915,100
2023-03-31 00:00:00+00:00,136,7,627,86
2023-04-01 00:00:00+00:00,57,6,702,110
2023-04-02 00:00:00+00:00,26,8,529,109
2023-04-03 00:00:00+00:00,148,11,749,130
2023-04-04 00:00:00+00:00,79,5,798,108
2023-04-05 00:00:00+00:00,132,7,458,83
2023-04-06 00:00:00+00:00,187,10,572,81
2023-04-07 00:00:00+00:00,160,9,535,75
2023-04-08 00:00:00+00:00,22,7,424,65
2023-04-09 00:00:00+00:00,63,7,368,61
2023-04-10 00:00:00+00:00,168,12,688,84
2023-04-11 00:00:00+00:00,211,9,656,77
2023-04-12 00:00:00+00:00,173,7,587,65
2023-04-13 00:00:00+00:00,174,7,599,67
2023-04-14 00:00:00+00:00,252,11,508,48
2023-04-15 00:00:00+00:00,48,7,472,42
2023-04-16 00:00:00+00:00,6,6,167,56
2023-04-17 00:00:00+00:00,156,13,396,52
2023-04-18 00:00:00+00:00,396,13,605,72
2023-04-19 00:00:00+00:00,171,10,492,56
2023-04-20 00:00:00+00:00,283,16,440,49
2023-04-21 00:00:00+00:00,132,9,335,41
2023-04-22 00:00:00+00:00,39,4,86,30
2023-04-23 00:00:00+00:00,25,8,154,33
2023-04-24 00:00:00+00:00,412,41,600,58
2023-04-25 00:00:00+00:00,318,15,394,48
2023-04-26 00:00:00+00:00,159,12,355,43
2023-04-27 00:00:00+00:00,92,10,298,46
2023-04-28 00:00:00+00:00,122,10,226,50
2023-04-29 00:00:00+00:00,4,4,111,27
2023-04-30 00:00:00+00:00,34,9,90,25
2023-05-01 00:00:00+00:00,233,10,483,38
2023-05-02 00:00:00+00:00,149,12,377,53
2023-05-03 00:00:00+00:00,144,16,346,53
2023-05-04 00:00:00+00:00,211,28,347,39
2023-05-05 00:00:00+00:00,23,5,260,50
2023-05-06 00:00:00+00:00,20,7,327,43
2023-05-07 00:00:00+00:00,33,8,167,29
2023-05-08 00:00:00+00:00,53,17,200,27
2023-05-09 00:00:00+00:00,109,12,299,34
2023-05-10 00:00:00+00:00,91,12,247,34
2023-05-11 00:00:00+00:00,83,15,154,37
2023-05-12 00:00:00+00:00,6,6,363,30
2023-05-13 00:00:00+00:00,29,7,74,16
2023-05-14 00:00:00+00:00,11,8,137,34
2023-05-15 00:00:00+00:00,34,11,260,42
2023-05-16 00:00:00+00:00,49,10,220,46
2023-05-17 00:00:00+00:00,52,17,152,31
2023-05-18 00:00:00+00:00,161,20,285,28
2023-05-19 00:00:00+00:00,58,13,193,41
2023-05-20 00:00:00+00:00,17,5,110,24
2023-05-21 00:00:00+00:00,9,7,287,35
2023-05-22 00:00:00+00:00,52,8,125,31
2023-05-23 00:00:00+00:00,142,14,300,46
2023-05-24 00:00:00+00:00,121,18,161,26
2023-05-25 00:00:00+00:00,124,12,305,37
2023-05-26 00:00:00+00:00,85,8,318,35
2023-05-27 00:00:00+00:00,8,6,153,29
2023-05-28 00:00:00+00:00,28,5,128,26
2023-05-29 00:00:00+00:00,129,10,424,44
2023-05-30 00:00:00+00:00,168,9,462,44
2023-05-31 00:00:00+00:00,124,11,211,51
2023-06-01 00:00:00+00:00,144,9,319,44
2023-06-02 00:00:00+00:00,130,13,682,240
2023-06-03 00:00:00+00:00,67,9,543,148
2023-06-04 00:00:00+00:00,56,9,485,112
2023-06-05 00:00:00+00:00,291,25,636,129
2023-06-06 00:00:00+00:00,266,12,572,92
2023-06-07 00:00:00+00:00,177,23,398,62
2023-06-08 00:00:00+00:00,195,19,307,75
2023-06-09 00:00:00+00:00,214,6,349,51
2023-06-10 00:00:00+00:00,22,6,131,41
2023-06-11 00:00:00+00:00,16,5,261,38
