time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-04 00:00:00+00:00,93,13,155,28
2023-11-05 00:00:00+00:00,12,6,179,31
2023-11-06 00:00:00+00:00,215,16,316,41
2023-11-07 00:00:00+00:00,148,17,349,45
2023-11-08 00:00:00+00:00,93,10,242,18
2023-11-09 00:00:00+00:00,243,9,162,24
2023-11-10 00:00:00+00:00,28,5,207,31
2023-11-11 00:00:00+00:00,4,4,77,19
2023-11-12 00:00:00+00:00,42,4,71,18
2023-11-13 00:00:00+00:00,49,7,230,34
2023-11-14 00:00:00+00:00,40,4,225,37
2023-11-15 00:00:00+00:00,67,8,361,38
2023-11-16 00:00:00+00:00,96,14,293,84
2023-11-17 00:00:00+00:00,170,17,330,52
2023-11-18 00:00:00+00:00,42,10,236,39
2023-11-19 00:00:00+00:00,67,4,149,32
2023-11-20 00:00:00+00:00,70,13,453,91
2023-11-21 00:00:00+00:00,90,8,172,33
2023-11-22 00:00:00+00:00,255,19,482,33
2023-11-23 00:00:00+00:00,81,9,161,28
2023-11-24 00:00:00+00:00,33,6,140,37
2023-11-25 00:00:00+00:00,7,7,89,25
2023-11-26 00:00:00+00:00,63,8,297,32
2023-11-27 00:00:00+00:00,94,12,258,44
2023-11-28 00:00:00+00:00,113,10,345,37
2023-11-29 00:00:00+00:00,94,13,198,40
2023-11-30 00:00:00+00:00,240,10,391,33
2023-12-01 00:00:00+00:00,55,11,266,44
2023-12-02 00:00:00+00:00,36,8,136,26
2023-12-03 00:00:00+00:00,63,10,289,33
2023-12-04 00:00:00+00:00,233,19,581,56
2023-12-05 00:00:00+00:00,183,19,354,45
2023-12-06 00:00:00+00:00,156,19,245,43
2023-12-07 00:00:00+00:00,44,14,271,44
2023-12-08 00:00:00+00:00,37,10,440,47
2023-12-09 00:00:00+00:00,10,10,365,38
2023-12-10 00:00:00+00:00,59,7,418,33
2023-12-11 00:00:00+00:00,96,16,482,43
2023-12-12 00:00:00+00:00,290,17,360,41
2023-12-13 00:00:00+00:00,219,14,403,51
2023-12-14 00:00:00+00:00,74,15,260,47
2023-12-15 00:00:00+00:00,56,7,360,51
2023-12-16 00:00:00+00:00,9,9,544,33
2023-12-17 00:00:00+00:00,60,5,109,29
2023-12-18 00:00:00+00:00,155,12,371,41
2023-12-19 00:00:00+00:00,90,10,214,45
2023-12-20 00:00:00+00:00,70,5,319,50
2023-12-21 00:00:00+00:00,67,7,221,44
2023-12-22 00:00:00+00:00,14,5,334,38
2023-12-23 00:00:00+00:00,7,7,208,34
2023-12-24 00:00:00+00:00,7,5,227,32
2023-12-25 00:00:00+00:00,6,6,121,28
2023-12-26 00:00:00+00:00,10,4,166,34
2023-12-27 00:00:00+00:00,10,8,215,33
2023-12-28 00:00:00+00:00,8,4,72,33
2023-12-29 00:00:00+00:00,4,4,227,29
2023-12-30 00:00:00+00:00,12,9,153,32
2023-12-31 00:00:00+00:00,5,5,79,23
2024-01-01 00:00:00+00:00,12,7,121,26
2024-01-02 00:00:00+00:00,27,6,338,42
2024-01-03 00:00:00+00:00,55,6,497,85
2024-01-04 00:00:00+00:00,110,8,350,77
2024-01-05 00:00:00+00:00,54,10,85,39
2024-01-06 00:00:00+00:00,6,6,225,37
2024-01-07 00:00:00+00:00,10,5,145,35
2024-01-08 00:00:00+00:00,59,5,401,43
2024-01-09 00:00:00+00:00,71,8,288,41
2024-01-10 00:00:00+00:00,52,6,132,36
2024-01-11 00:00:00+00:00,20,8,117,37
2024-01-12 00:00:00+00:00,63,7,242,37
2024-01-13 00:00:00+00:00,16,12,143,28
2024-01-14 00:00:00+00:00,15,4,78,21
2024-01-15 00:00:00+00:00,33,8,227,27
2024-01-16 00:00:00+00:00,29,3,137,33
2024-01-17 00:00:00+00:00,56,9,115,23
2024-01-18 00:00:00+00:00,480,10,316,29
2024-01-19 00:00:00+00:00,80,8,265,34
2024-01-20 00:00:00+00:00,9,8,103,21
2024-01-21 00:00:00+00:00,5,2,199,23
2024-01-22 00:00:00+00:00,32,5,309,40
2024-01-23 00:00:00+00:00,225,17,282,45
2024-01-24 00:00:00+00:00,56,5,429,35
2024-01-25 00:00:00+00:00,95,13,190,30
2024-01-26 00:00:00+00:00,300,21,211,20
2024-01-27 00:00:00+00:00,8,7,79,25
2024-01-28 00:00:00+00:00,7,6,156,52
2024-01-29 00:00:00+00:00,187,12,412,95
2024-01-30 00:00:00+00:00,227,17,408,67
2024-01-31 00:00:00+00:00,7,4,166,42
2024-02-01 00:00:00+00:00,216,19,161,37
2024-02-02 00:00:00+00:00,5,4,300,39
