time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-11-04 00:00:00+00:00,93,13,155,28
2023-11-05 00:00:00+00:00,12,6,179,31
2023-11-06 00:00:00+00:00,215,16,316,41
2023-11-07 00:00:00+00:00,148,17,349,45
2023-11-08 00:00:00+00:00,93,10,242,18
2023-11-09 00:00:00+00:00,243,9,162,24
2023-11-10 00:00:00+00:00,28,5,207,31
2023-11-11 00:00:00+00:00,4,4,77,19
2023-11-12 00:00:00+00:00,42,4,71,18
2023-11-13 00:00:00+00:00,49,7,230,34
2023-11-14 00:00:00+00:00,40,4,225,37
2023-11-15 00:00:00+00:00,67,8,361,38
2023-11-16 00:00:00+00:00,96,14,293,84
2023-11-17 00:00:00+00:00,170,17,330,52
2023-11-18 00:00:00+00:00,42,10,236,39
2023-11-19 00:00:00+00:00,67,4,149,32
2023-11-20 00:00:00+00:00,70,13,453,91
2023-11-21 00:00:00+00:00,90,8,172,33
2023-11-22 00:00:00+00:00,255,19,482,33
2023-11-23 00:00:00+00:00,81,9,161,28
2023-11-24 00:00:00+00:00,33,6,140,37
2023-11-25 00:00:00+00:00,7,7,89,25
2023-11-26 00:00:00+00:00,63,8,297,32
2023-11-27 00:00:00+00:00,94,12,258,44
2023-11-28 00:00:00+00:00,113,10,345,37
2023-11-29 00:00:00+00:00,94,13,198,40
2023-11-30 00:00:00+00:00,240,10,391,33
2023-12-01 00:00:00+00:00,55,11,266,44
2023-12-02 00:00:00+00:00,36,8,136,26
2023-12-03 00:00:00+00:00,63,10,289,33
2023-12-04 00:00:00+00:00,233,19,581,56
2023-12-05 00:00:00+00:00,183,19,354,45
2023-12-06 00:00:00+00:00,156,19,245,43
2023-12-07 00:00:00+00:00,44,14,271,44
2023-12-08 00:00:00+00:00,37,10,440,47
2023-12-09 00:00:00+00:00,10,10,365,38
2023-12-10 00:00:00+00:00,59,7,418,33
2023-12-11 00:00:00+00:00,96,16,482,43
2023-12-12 00:00:00+00:00,289,16,327,40
